,ALB,Albania,Europe
,ALG,Algeria,Africa
,ALL,World,Earth
,AND,Andorra,Europe
,ANG,Angola,Africa
,ARG,Argentina,South America
,ARM,Armenia,Asia
,AUS,Australia,Oceania
,AUT,Austria,Europe
,AZE,Azerbaijan,Asia
,BEL,Belgium,Europe
,BEN,Benin,Africa
,BFA,Burkina Faso,Africa
,BHR,Bahrain,Asia
,BIH,Bosnia and Herzegovina,Europe
,BLR,Belarus,Europe
,BNG,Bangladesh,Asia
,BOL,Bolivia,South America
,BOT,Botswana,Africa
,BRA,Brazil,South America
,BUL,Bulgaria,Europe
,BUR,Burundi,Africa
,CAN,Canada,North America
,CAR,Central African Republic,Africa
,CHA,Chad,Africa
,CHI,Chile,South America
,CHN,China,Asia
,CIV,Ivory Coast,Africa
,CMR,Cameroon,Africa
,CNG,Congo,Africa
,COL,Colombia,South America
,CPV,Cabo Verde,Africa
,CRC,Costa Rica,North America
,CRO,Croatia,Europe
,CUB,Cuba,North America
,CUR,Curacao,North America
,CYP,Cyprus,Europe
,CZE,Czech Republic,Europe
,DEN,Denmark,Europe
,DJI,Djibouti,Africa
,DOM,Dominican Republic,North America
,DRC,Democratic Republic of the Congo,Africa
,ECU,Ecuador,South America
,EGY,Egypt,Africa
,ENG,England,Europe
,ERI,Eritrea,Africa
,ESP,Spain,Europe
,EST,Estonia,Europe
,ETY,Ethiopia,Africa
,FIN,Finland,Europe
,FJI,Fiji,Oceania
,FRA,France,Europe
,FRI,Faroe Islands,Europe
,GAB,Gabon,Africa
,GAM,Gambia,Africa
,GEO,Georgia,Asia
,GER,Germany,Europe
,GHA,Ghana,Africa
,GRE,Greece,Europe
,GUA,Guam,Oceania
,GUB,Guinea-Bissau,Africa
,GUI,Guinea,Africa
,GUY,Guyana,South America
,HAI,Haiti,North America
,HON,Honduras,North America
,HUN,Hungary,Europe
,IDN,Indonesia,Asia
,IND,India,Asia
,IRL,Ireland,Europe
,IRN,Iran,Asia
,IRQ,Iraq,Asia
,ISL,Iceland,Europe
,ISR,Israel,Asia
,ITA,Italy,Europe
,JAM,Jamaica,North America
,JOR,Jordan,Asia
,JPN,Japan,Asia
,KAZ,Kazakhstan,Asia
,KEN,Kenya,Africa
,KOM,Comoros,Africa
,KOR,South Korea,Asia
,KSA,Saudi Arabia,Asia
,KYR,Kyrgyzstan,Asia
,LAO,Laos,Asia
,LAT,Latvia,Europe
,LBN,Lebanon,Asia
,LBR,Liberia,Africa
,LBY,Libya,Africa
,LIE,Liechtenstein,Europe
,LTU,Lithuania,Europe
,LUX,Luxembourg,Europe
,MAL,Malaysia,Asia
,MAU,Mauritania,Africa
,MDA,Moldova,Europe
,MDG,Madagascar,Africa
,MEX,Mexico,North America
,MKD,North Macedonia,Europe
,MLI,Mali,Africa
,MLT,Malta,Europe
,MNE,Montenegro,Europe
,MON,Monaco,Europe
,MOR,Morocco,Africa
,MOZ,Mozambique,Africa
,MTQ,Martinique,Africa
,MYA,Myanmar,Asia
,NCR,Nicaragua,North America
,NED,Netherlands,Europe
,NEP,Nepal,Asia
,NGE,Niger,Africa
,NGR,Nigeria,Africa
,NIR,Northern Ireland,Europe
,NMB,Namibia,Africa
,NOR,Norway,Europe
,NZE,New Zealand,Oceania
,OMN,Oman,Asia
,PAK,Pakistan,Asia
,PAL,Palestine,Asia
,PAN,Panama,North America
,PAR,Paraguay,South America
,PER,Peru,South America
,PHI,Philippines,Asia
,POL,Poland,Europe
,POR,Portugal,Europe
,PRK,North Korea,Asia
,PUE,Puerto Rico,North America
,QAT,Qatar,Asia
,ROU,Romania,Europe
,RSA,South Africa,Africa
,RUS,Russia,Europe
,RWA,Rwanda,Africa
,SCO,Scotland,Europe
,SEN,Senegal,Africa
,SGP,Singapore,Asia
,SLV,El Salvador,North America
,SMR,San Marino,Europe
,SOM,Somalia,Africa
,SRB,Serbia,Europe
,SRL,Sierra Leone,Africa
,SSD,South Sudan,Africa
,SUD,Sudan,Africa
,SUI,Switzerland,Europe
,SUR,Suriname,South America
,SVK,Slovakia,Europe
,SVN,Slovenia,Europe
,SWE,Sweden,Europe
,SYR,Syria,Asia
,TAJ,Tajikistan,Asia
,TAN,Tanzania,Africa
,THA,Thailand,Asia
,TKM,Turkmenistan,Asia
,TOG,Togo,Africa
,TRI,Trinidad and Tobago,North America
,TUN,Tunisia,Africa
,TUR,Turkey,Europe
,TWN,Taiwan,Asia
,UAE,United Arab Emirates,Asia
,UGA,Uganda,Africa
,UKR,Ukraine,Europe
,URU,Uruguay,South America
,USA,United States,North America
,UZB,Uzbekistan,Asia
,VAT,Vatican,Europe
,VEN,Venezuela,South America
,VIE,Vietnam,Asia
,WAL,Wales,Europe
,YEM,Yemen,Asia
,ZAM,Zambia,Africa
,ZBW,Zimbabwe,Africa
